zip,N_est_2000,N_est_2001,N_est_2002,N_est_2003,N_est_2004,N_est_2005,N_est_2006,N_est_2007,N_est_2008,N_est_2009,N_est_2010,N_est_2011,N_est_2012,longitude,latitude
11415,359,381,385,389,398,409,420,412,414,417,419,417,425,-73.8285483051,40.7083229838
11416,352,372,368,359,363,369,369,365,390,383,393,404,404,-73.8495094176,40.6846126
11417,337,319,346,348,357,364,364,372,376,373,391,391,393,-73.8444402077,40.6763555619
11418,603,604,625,657,669,653,672,650,671,678,718,708,733,-73.8322565523,40.6982673848
11419,490,502,547,586,594,615,637,632,638,640,682,674,703,-73.8229119206,40.6886677221
11420,266,277,317,327,328,349,351,361,343,364,373,392,426,-73.8172011585,40.6730002735
11421,352,380,396,408,412,424,426,426,405,424,443,473,504,-73.8571682205,40.6915281616
11422,261,268,283,281,271,274,262,312,310,302,307,310,294,-73.7352252293,40.6622571268
11423,307,309,328,326,341,338,340,343,332,342,359,355,352,-73.7685909351,40.7171548128
11426,213,217,207,211,221,226,226,228,226,237,248,256,266,-73.7240203439,40.7365020772
11427,210,186,200,210,224,230,223,220,222,219,237,248,245,-73.7506895837,40.7292086549
11428,254,263,261,258,261,270,268,295,289,295,310,296,305,-73.7416691661,40.7213412221
11429,171,178,201,206,212,210,212,198,201,212,222,224,225,-73.7381562746,40.7100230788
11430,314,334,363,364,374,371,362,362,367,342,342,332,314,-73.7861844583,40.6470702565
11432,1055,1147,1158,1206,1217,1262,1234,1227,1216,1221,1220,1221,1269,-73.7930647087,40.715755029
11433,266,269,293,289,292,296,284,285,293,294,298,308,307,-73.7870522713,40.6982530491
11434,825,853,863,861,869,873,878,924,914,901,939,944,962,-73.775365657,40.6769283437
11435,653,656,688,716,728,758,790,780,796,802,823,832,847,-73.8098231164,40.7012543706
11436,65,57,78,74,84,82,80,84,90,92,98,101,95,-73.7965029131,40.6758719317
11451,4,5,5,5,5,3,3,3,2,2,3,2,3,-73.7993496105,40.7009353117
11691,376,394,409,426,436,449,441,447,446,461,490,486,488,-73.7619283624,40.6007492341
11692,79,71,75,74,68,65,60,69,73,83,90,90,95,-73.7955758163,40.5932473028
11693,79,89,94,98,96,97,104,110,125,131,132,131,129,-73.8250019152,40.6180050635
11693,79,89,94,98,96,97,104,110,125,131,132,131,129,-73.8326061165,40.6070885095
11693,79,89,94,98,96,97,104,110,125,131,132,131,129,-73.8115804983,40.5872095706
11693,79,89,94,98,96,97,104,110,125,131,132,131,129,-73.8400209367,40.6300534543
11694,288,301,302,302,303,317,315,332,328,317,330,326,326,-73.8517666061,40.5751814611
11697,39,40,37,43,43,42,49,48,49,51,48,46,49,-73.9136755082,40.5574268496
